cl_sig,pq_sig,cl,pq,delay,loss,mtu,idx,connections,user_sec,real_sec
p256,falcon512,p256,bikel1,5,0,1280,0,156.0,,11.0
p256,falcon512,p256,bikel1,5,0,1500,0,125.0,,11.0
p256,falcon512,p256,bikel1,5,0,576,0,142.0,,11.0
p256,falcon512,p256,bikel1,5,1,1280,0,112.0,,11.0
p256,falcon512,p256,bikel1,5,1,1500,0,128.0,,11.0
p256,falcon512,p256,bikel1,5,1,576,0,113.0,,11.0
p256,falcon512,p256,frodo640shake,5,0,1280,0,102.0,,11.0
p256,falcon512,p256,frodo640shake,5,0,1500,0,86.0,,11.0
p256,falcon512,p256,frodo640shake,5,0,576,0,100.0,,11.0
p256,falcon512,p256,frodo640shake,5,1,1280,0,90.0,,11.0
p256,falcon512,p256,frodo640shake,5,1,1500,0,94.0,,11.0
p256,falcon512,p256,frodo640shake,5,1,576,0,87.0,,11.0
p256,falcon512,p256,frodo640shake,5,5,1500,0,52.0,,11.0
p256,falcon512,p256,hqc128,5,0,1280,0,30.0,,11.0
p256,falcon512,p256,hqc128,5,0,1500,0,25.0,,11.0
p256,falcon512,p256,hqc128,5,0,576,0,29.0,,11.0
p256,falcon512,p256,hqc128,5,1,1280,0,29.0,,11.0
p256,falcon512,p256,hqc128,5,1,1500,0,29.0,,11.0
p256,falcon512,p256,hqc128,5,1,576,0,26.0,,11.0
p256,falcon512,p256,mlkem512,5,0,1280,0,169.0,,11.0
p256,falcon512,p256,mlkem512,5,0,1500,0,123.0,,11.0
p256,falcon512,p256,mlkem512,5,0,576,0,158.0,,11.0
p256,falcon512,p256,mlkem512,5,1,1280,0,135.0,,11.0
p256,falcon512,p256,mlkem512,5,1,1500,0,139.0,,11.0
p256,falcon512,p256,mlkem512,5,1,576,0,105.0,,11.0
p256,falcon512,p256,mlkem512,5,5,1500,0,53.0,,11.0
p256,falcon512,x25519,bikel1,5,0,1280,0,242.0,,11.0
p256,falcon512,x25519,bikel1,5,0,1500,0,159.0,,11.0
p256,falcon512,x25519,bikel1,5,0,576,0,229.0,,11.0
p256,falcon512,x25519,bikel1,5,1,1280,0,,,
p256,falcon512,x25519,bikel1,5,1,1500,0,143.0,,11.0
p256,falcon512,x25519,bikel1,5,1,576,0,235.0,,11.0
p256,falcon512,x25519,frodo640shake,5,0,1280,0,141.0,,11.0
p256,falcon512,x25519,frodo640shake,5,0,1500,0,110.0,,11.0
p256,falcon512,x25519,frodo640shake,5,0,576,0,125.0,,11.0
p256,falcon512,x25519,frodo640shake,5,1,1280,0,132.0,,11.0
p256,falcon512,x25519,frodo640shake,5,1,1500,0,92.0,,12.0
p256,falcon512,x25519,frodo640shake,5,1,576,0,93.0,,11.0
p256,falcon512,x25519,frodo640shake,5,5,1500,0,,,
p256,falcon512,x25519,hqc128,5,0,1280,0,32.0,,11.0
p256,falcon512,x25519,hqc128,5,0,1500,0,29.0,,11.0
p256,falcon512,x25519,hqc128,5,0,576,0,30.0,,11.0
p256,falcon512,x25519,hqc128,5,1,1280,0,29.0,,11.0
p256,falcon512,x25519,hqc128,5,1,1500,0,33.0,,11.0
p256,falcon512,x25519,hqc128,5,1,576,0,26.0,,11.0
p256,falcon512,x25519,hqc128,5,5,1280,0,29.0,,11.0
p256,falcon512,x25519,hqc128,5,5,1500,0,29.0,,11.0
p256,falcon512,x25519,mlkem512,5,0,1280,0,268.0,,11.0
p256,falcon512,x25519,mlkem512,5,0,1500,0,189.0,,11.0
p256,falcon512,x25519,mlkem512,5,0,576,0,251.0,,11.0
p256,falcon512,x25519,mlkem512,5,1,1280,0,151.0,,11.0
p256,falcon512,x25519,mlkem512,5,1,1500,0,157.0,,11.0
p256,falcon512,x25519,mlkem512,5,1,576,0,188.0,,11.0
p256,falcon512,x25519,mlkem512,5,5,1280,0,84.0,,11.0
p256,falcon512,x25519,mlkem512,5,5,1500,0,72.0,,11.0
p256,falcon512,x448,bikel1,5,0,1280,0,209.0,,11.0
p256,falcon512,x448,bikel1,5,0,1500,0,144.0,,11.0
p256,falcon512,x448,bikel1,5,0,576,0,182.0,,11.0
p256,falcon512,x448,bikel1,5,1,1280,0,151.0,,11.0
p256,falcon512,x448,bikel1,5,1,1500,0,104.0,,11.0
p256,falcon512,x448,bikel1,5,1,576,0,123.0,,11.0
p256,falcon512,x448,bikel1,5,5,1500,0,,,
p256,falcon512,x448,frodo640shake,5,0,1280,0,121.0,,11.0
p256,falcon512,x448,frodo640shake,5,0,1500,0,107.0,,11.0
p256,falcon512,x448,frodo640shake,5,0,576,0,119.0,,11.0
p256,falcon512,x448,frodo640shake,5,1,1280,0,100.0,,11.0
p256,falcon512,x448,frodo640shake,5,1,1500,0,72.0,,12.0
p256,falcon512,x448,frodo640shake,5,1,576,0,74.0,,11.0
p256,falcon512,x448,frodo640shake,5,5,1500,0,58.0,,11.0
p256,falcon512,x448,hqc128,5,0,1280,0,31.0,,11.0
p256,falcon512,x448,hqc128,5,0,1500,0,26.0,,11.0
p256,falcon512,x448,hqc128,5,0,576,0,29.0,,11.0
p256,falcon512,x448,hqc128,5,1,1280,0,29.0,,11.0
p256,falcon512,x448,hqc128,5,1,1500,0,31.0,,11.0
p256,falcon512,x448,hqc128,5,1,576,0,25.0,,12.0
p256,falcon512,x448,hqc128,5,5,1280,0,,,
p256,falcon512,x448,hqc128,5,5,1500,0,28.0,,11.0
p256,falcon512,x448,mlkem512,5,0,1280,0,221.0,,11.0
p256,falcon512,x448,mlkem512,5,0,1500,0,158.0,,11.0
p256,falcon512,x448,mlkem512,5,0,576,0,213.0,,11.0
p256,falcon512,x448,mlkem512,5,1,1280,0,194.0,,11.0
p256,falcon512,x448,mlkem512,5,1,1500,0,134.0,,11.0
p256,falcon512,x448,mlkem512,5,1,576,0,180.0,,11.0
p256,falcon512,x448,mlkem512,5,5,1280,0,56.0,,12.0
p256,falcon512,x448,mlkem512,5,5,1500,0,43.0,,11.0
p256,mayo1,p256,bikel1,5,0,1280,0,144.0,,11.0
p256,mayo1,p256,bikel1,5,0,1500,0,157.0,,11.0
p256,mayo1,p256,bikel1,5,0,576,0,145.0,,11.0
p256,mayo1,p256,bikel1,5,1,1280,0,174.0,,11.0
p256,mayo1,p256,bikel1,5,1,1500,0,93.0,,11.0
p256,mayo1,p256,bikel1,5,1,576,0,171.0,,11.0
p256,mayo1,p256,frodo640shake,5,0,1280,0,100.0,,11.0
p256,mayo1,p256,frodo640shake,5,0,1500,0,102.0,,11.0
p256,mayo1,p256,frodo640shake,5,0,576,0,101.0,,11.0
p256,mayo1,p256,frodo640shake,5,1,1280,0,72.0,,11.0
p256,mayo1,p256,frodo640shake,5,1,1500,0,76.0,,11.0
p256,mayo1,p256,frodo640shake,5,1,576,0,88.0,,11.0
p256,mayo1,p256,frodo640shake,5,5,1500,0,50.0,,11.0
p256,mayo1,p256,hqc128,5,0,1280,0,30.0,,11.0
p256,mayo1,p256,hqc128,5,0,1500,0,30.0,,11.0
p256,mayo1,p256,hqc128,5,0,576,0,29.0,,11.0
p256,mayo1,p256,hqc128,5,1,1280,0,26.0,,11.0
p256,mayo1,p256,hqc128,5,1,1500,0,28.0,,11.0
p256,mayo1,p256,hqc128,5,1,576,0,29.0,,11.0
p256,mayo1,p256,hqc128,5,5,1500,0,23.0,,11.0
p256,mayo1,p256,mlkem512,5,0,1280,0,177.0,,11.0
p256,mayo1,p256,mlkem512,5,0,1500,0,185.0,,11.0
p256,mayo1,p256,mlkem512,5,0,576,0,171.0,,11.0
p256,mayo1,p256,mlkem512,5,1,1280,0,109.0,,11.0
p256,mayo1,p256,mlkem512,5,1,1500,0,147.0,,11.0
p256,mayo1,p256,mlkem512,5,1,576,0,131.0,,11.0
p256,mayo1,x25519,bikel1,5,0,1280,0,240.0,,11.0
p256,mayo1,x25519,bikel1,5,0,1500,0,240.0,,11.0
p256,mayo1,x25519,bikel1,5,0,576,0,221.0,,11.0
p256,mayo1,x25519,bikel1,5,1,1280,0,186.0,,11.0
p256,mayo1,x25519,bikel1,5,1,1500,0,163.0,,11.0
p256,mayo1,x25519,bikel1,5,1,576,0,178.0,,11.0
p256,mayo1,x25519,frodo640shake,5,0,1280,0,144.0,,11.0
p256,mayo1,x25519,frodo640shake,5,0,1500,0,148.0,,11.0
p256,mayo1,x25519,frodo640shake,5,0,576,0,133.0,,11.0
p256,mayo1,x25519,frodo640shake,5,1,1280,0,101.0,,11.0
p256,mayo1,x25519,frodo640shake,5,1,1500,0,119.0,,11.0
p256,mayo1,x25519,frodo640shake,5,1,576,0,98.0,,11.0
p256,mayo1,x25519,frodo640shake,5,5,1500,0,40.0,,11.0
p256,mayo1,x25519,hqc128,25,0,1280,0,36.0,,11.0
p256,mayo1,x25519,hqc128,25,0,1500,0,35.0,,11.0
p256,mayo1,x25519,hqc128,25,0,576,0,36.0,,11.0
p256,mayo1,x25519,hqc128,25,1,1280,0,38.0,,11.0
p256,mayo1,x25519,hqc128,25,1,1500,0,32.0,,11.0
p256,mayo1,x25519,hqc128,25,1,576,0,33.0,,11.0
p256,mayo1,x25519,hqc128,25,5,1500,0,23.0,,12.0
p256,mayo1,x25519,hqc128,5,0,1280,0,30.0,,11.0
p256,mayo1,x25519,hqc128,5,0,1500,0,33.0,,11.0
p256,mayo1,x25519,hqc128,5,0,576,0,29.0,,11.0
p256,mayo1,x25519,hqc128,5,1,1280,0,28.0,,11.0
p256,mayo1,x25519,hqc128,5,1,1500,0,32.0,,11.0
p256,mayo1,x25519,hqc128,5,1,576,0,29.0,,11.0
p256,mayo1,x25519,hqc128,5,5,1280,0,31.0,,11.0
p256,mayo1,x25519,hqc128,5,5,1500,0,24.0,,11.0
p256,mayo1,x25519,hqc128,5,5,576,0,26.0,,11.0
p256,mayo1,x25519,mlkem512,5,0,1280,0,255.0,,11.0
p256,mayo1,x25519,mlkem512,5,0,1500,0,240.0,,11.0
