cl_sig,pq_sig,cl,pq,delay,loss,mtu,idx,connections,user_sec,real_sec
p256,falcon512,p256,bikel1,5,0,1280,0,77.0,,11.0
p256,falcon512,p256,bikel1,5,0,1500,0,59.0,,11.0
p256,falcon512,p256,bikel1,5,0,576,0,67.0,,11.0
p256,falcon512,p256,bikel1,5,1,1280,0,58.0,,11.0
p256,falcon512,p256,bikel1,5,1,1500,0,68.0,,11.0
p256,falcon512,p256,bikel1,5,1,576,0,70.0,,11.0
p256,falcon512,p256,bikel1,5,5,1500,0,,,
p256,falcon512,p256,frodo640shake,5,0,1280,0,55.0,,11.0
p256,falcon512,p256,frodo640shake,5,0,1500,0,44.0,,11.0
p256,falcon512,p256,frodo640shake,5,0,576,0,48.0,,11.0
p256,falcon512,p256,frodo640shake,5,1,1280,0,45.0,,11.0
p256,falcon512,p256,frodo640shake,5,1,1500,0,49.0,,11.0
p256,falcon512,p256,frodo640shake,5,1,576,0,44.0,,11.0
p256,falcon512,p256,frodo640shake,5,5,1280,0,26.0,,12.0
p256,falcon512,p256,frodo640shake,5,5,1500,0,33.0,,11.0
p256,falcon512,p256,hqc128,5,0,1280,0,14.0,,11.0
p256,falcon512,p256,hqc128,5,0,1500,0,16.0,,11.0
p256,falcon512,p256,hqc128,5,0,576,0,14.0,,11.0
p256,falcon512,p256,hqc128,5,1,1280,0,13.0,,11.0
p256,falcon512,p256,hqc128,5,1,1500,0,16.0,,11.0
p256,falcon512,p256,hqc128,5,1,576,0,14.0,,11.0
p256,falcon512,p256,hqc128,5,5,1500,0,,,
p256,falcon512,p256,mlkem512,5,0,1280,0,86.0,,11.0
p256,falcon512,p256,mlkem512,5,0,1500,0,93.0,,11.0
p256,falcon512,p256,mlkem512,5,0,576,0,90.0,,11.0
p256,falcon512,p256,mlkem512,5,1,1280,0,93.0,,11.0
p256,falcon512,p256,mlkem512,5,1,1500,0,,,
p256,falcon512,p256,mlkem512,5,1,576,0,102.0,,11.0
p256,falcon512,x25519,bikel1,5,0,1280,0,120.0,,11.0
p256,falcon512,x25519,bikel1,5,0,1500,0,127.0,,11.0
p256,falcon512,x25519,bikel1,5,0,576,0,114.0,,11.0
p256,falcon512,x25519,bikel1,5,1,1280,0,89.0,,11.0
