cl_sig,pq_sig,cl,pq,delay,loss,mtu,idx,connections,user_sec,real_sec
p256,falcon512,p256,bikel1,5,0,1280,0,324.0,,11.0
p256,falcon512,p256,bikel1,5,0,1500,0,292.0,,11.0
p256,falcon512,p256,bikel1,5,0,576,0,338.0,,11.0
p256,falcon512,p256,bikel1,5,1,1280,0,174.0,,11.0
p256,falcon512,p256,bikel1,5,1,1500,0,190.0,,11.0
p256,falcon512,p256,bikel1,5,1,576,0,151.0,,11.0
p256,falcon512,p256,bikel1,5,5,1500,0,,,
p256,falcon512,p256,frodo640shake,5,0,1280,0,243.0,,11.0
p256,falcon512,p256,frodo640shake,5,0,1500,0,221.0,,11.0
p256,falcon512,p256,frodo640shake,5,0,576,0,197.0,,11.0
p256,falcon512,p256,frodo640shake,5,1,1280,0,141.0,,11.0
p256,falcon512,p256,frodo640shake,5,1,1500,0,170.0,,11.0
p256,falcon512,p256,frodo640shake,5,1,576,0,165.0,,11.0
p256,falcon512,p256,frodo640shake,5,5,1500,0,79.0,,11.0
p256,falcon512,p256,hqc128,5,0,1280,0,94.0,,11.0
p256,falcon512,p256,hqc128,5,0,1500,0,98.0,,11.0
p256,falcon512,p256,hqc128,5,0,576,0,102.0,,11.0
p256,falcon512,p256,hqc128,5,1,1280,0,80.0,,11.0
p256,falcon512,p256,hqc128,5,1,1500,0,95.0,,11.0
p256,falcon512,p256,hqc128,5,1,576,0,94.0,,11.0
p256,falcon512,p256,hqc128,5,5,1500,0,46.0,,11.0
p256,falcon512,p256,mlkem512,5,0,1280,0,332.0,,11.0
p256,falcon512,p256,mlkem512,5,0,1500,0,329.0,,11.0
p256,falcon512,p256,mlkem512,5,0,576,0,346.0,,11.0
p256,falcon512,p256,mlkem512,5,1,1280,0,196.0,,11.0
p256,falcon512,p256,mlkem512,5,1,1500,0,273.0,,11.0
p256,falcon512,p256,mlkem512,5,1,576,0,146.0,,11.0
p256,falcon512,x25519,bikel1,5,0,1280,0,365.0,,11.0
p256,falcon512,x25519,bikel1,5,0,1500,0,368.0,,11.0
p256,falcon512,x25519,bikel1,5,0,576,0,373.0,,11.0
p256,falcon512,x25519,bikel1,5,1,1280,0,234.0,,11.0
p256,falcon512,x25519,bikel1,5,1,1500,0,196.0,,11.0
p256,falcon512,x25519,bikel1,5,1,576,0,147.0,,11.0
p256,falcon512,x25519,frodo640shake,5,0,1280,0,272.0,,11.0
p256,falcon512,x25519,frodo640shake,5,0,1500,0,319.0,,11.0
p256,falcon512,x25519,frodo640shake,5,0,576,0,205.0,,11.0
p256,falcon512,x25519,frodo640shake,5,1,1280,0,112.0,,11.0
p256,falcon512,x25519,frodo640shake,5,1,1500,0,215.0,,11.0
p256,falcon512,x25519,frodo640shake,5,1,576,0,116.0,,11.0
p256,falcon512,x25519,frodo640shake,5,5,1500,0,,,
p256,falcon512,x25519,hqc128,5,0,1280,0,112.0,,11.0
p256,falcon512,x25519,hqc128,5,0,1500,0,97.0,,11.0
p256,falcon512,x25519,hqc128,5,0,576,0,122.0,,11.0
p256,falcon512,x25519,hqc128,5,1,1280,0,119.0,,12.0
p256,falcon512,x25519,hqc128,5,1,1500,0,94.0,,11.0
p256,falcon512,x25519,hqc128,5,1,576,0,86.0,,11.0
p256,falcon512,x25519,hqc128,5,5,1500,0,68.0,,11.0
p256,falcon512,x25519,mlkem512,5,0,1280,0,372.0,,11.0
p256,falcon512,x25519,mlkem512,5,0,1500,0,313.0,,11.0
p256,falcon512,x25519,mlkem512,5,0,576,0,380.0,,11.0
p256,falcon512,x25519,mlkem512,5,1,1280,0,168.0,,11.0
p256,falcon512,x25519,mlkem512,5,1,1500,0,229.0,,11.0
p256,falcon512,x25519,mlkem512,5,1,576,0,253.0,,11.0
p256,falcon512,x448,bikel1,5,0,1280,0,316.0,,11.0
p256,falcon512,x448,bikel1,5,0,1500,0,287.0,,11.0
p256,falcon512,x448,bikel1,5,0,576,0,333.0,,11.0
p256,falcon512,x448,bikel1,5,1,1280,0,169.0,,11.0
p256,falcon512,x448,bikel1,5,1,1500,0,227.0,,11.0
p256,falcon512,x448,bikel1,5,1,576,0,267.0,,11.0
p256,falcon512,x448,bikel1,5,5,1280,0,,,
p256,falcon512,x448,bikel1,5,5,1500,0,65.0,,11.0
p256,falcon512,x448,frodo640shake,5,0,1280,0,250.0,,11.0
p256,falcon512,x448,frodo640shake,5,0,1500,0,254.0,,11.0
p256,falcon512,x448,frodo640shake,5,0,576,0,200.0,,11.0
p256,falcon512,x448,frodo640shake,5,1,1280,0,171.0,,11.0
p256,falcon512,x448,frodo640shake,5,1,1500,0,179.0,,11.0
p256,falcon512,x448,frodo640shake,5,1,576,0,114.0,,12.0
p256,falcon512,x448,frodo640shake,5,5,1500,0,,,
p256,falcon512,x448,hqc128,5,0,1280,0,97.0,,11.0
p256,falcon512,x448,hqc128,5,0,1500,0,101.0,,11.0
p256,falcon512,x448,hqc128,5,0,576,0,105.0,,11.0
p256,falcon512,x448,hqc128,5,1,1280,0,102.0,,11.0
p256,falcon512,x448,hqc128,5,1,1500,0,86.0,,11.0
p256,falcon512,x448,hqc128,5,1,576,0,94.0,,11.0
p256,falcon512,x448,hqc128,5,5,1500,0,65.0,,11.0
p256,falcon512,x448,mlkem512,5,0,1280,0,364.0,,11.0
p256,falcon512,x448,mlkem512,5,0,1500,0,363.0,,11.0
p256,falcon512,x448,mlkem512,5,0,576,0,372.0,,11.0
p256,falcon512,x448,mlkem512,5,1,1280,0,224.0,,11.0
p256,falcon512,x448,mlkem512,5,1,1500,0,269.0,,11.0
p256,falcon512,x448,mlkem512,5,1,576,0,,,
p256,mayo1,p256,bikel1,5,0,1280,0,339.0,,11.0
p256,mayo1,p256,bikel1,5,0,1500,0,340.0,,11.0
p256,mayo1,p256,bikel1,5,0,576,0,350.0,,11.0
p256,mayo1,p256,bikel1,5,1,1280,0,239.0,,11.0
p256,mayo1,p256,bikel1,5,1,1500,0,281.0,,11.0
p256,mayo1,p256,bikel1,5,1,576,0,217.0,,11.0
p256,mayo1,p256,bikel1,5,5,1500,0,90.0,,11.0
p256,mayo1,p256,frodo640shake,5,0,1280,0,254.0,,11.0
p256,mayo1,p256,frodo640shake,5,0,1500,0,282.0,,11.0
p256,mayo1,p256,frodo640shake,5,0,576,0,199.0,,11.0
p256,mayo1,p256,frodo640shake,5,1,1280,0,189.0,,11.0
p256,mayo1,p256,frodo640shake,5,1,1500,0,157.0,,11.0
p256,mayo1,p256,hqc128,5,0,1280,0,114.0,,11.0
p256,mayo1,p256,hqc128,5,0,1500,0,110.0,,11.0
p256,mayo1,p256,hqc128,5,0,576,0,120.0,,11.0
p256,mayo1,p256,hqc128,5,1,1280,0,107.0,,11.0
p256,mayo1,p256,hqc128,5,1,1500,0,95.0,,11.0
p256,mayo1,p256,hqc128,5,1,576,0,93.0,,11.0
p256,mayo1,p256,mlkem512,5,0,1280,0,351.0,,11.0
p256,mayo1,p256,mlkem512,5,0,1500,0,332.0,,11.0
p256,mayo1,p256,mlkem512,5,0,576,0,359.0,,11.0
p256,mayo1,p256,mlkem512,5,1,1280,0,294.0,,11.0
p256,mayo1,p256,mlkem512,5,1,1500,0,164.0,,11.0
p256,mayo1,p256,mlkem512,5,1,576,0,328.0,,11.0
p256,mayo1,x25519,bikel1,5,0,1280,0,383.0,,11.0
p256,mayo1,x25519,bikel1,5,0,1500,0,377.0,,11.0
p256,mayo1,x25519,bikel1,5,0,576,0,388.0,,11.0
p256,mayo1,x25519,bikel1,5,1,1280,0,206.0,,11.0
p256,mayo1,x25519,bikel1,5,1,1500,0,240.0,,11.0
p256,mayo1,x25519,bikel1,5,1,576,0,260.0,,11.0
p256,mayo1,x25519,bikel1,5,5,1500,0,49.0,,16.0
p256,mayo1,x25519,frodo640shake,5,0,1280,0,282.0,,11.0
p256,mayo1,x25519,frodo640shake,5,0,1500,0,327.0,,11.0
p256,mayo1,x25519,frodo640shake,5,0,576,0,207.0,,11.0
p256,mayo1,x25519,frodo640shake,5,1,1280,0,,,
p256,mayo1,x25519,frodo640shake,5,1,1500,0,127.0,,11.0
p256,mayo1,x25519,hqc128,5,0,1280,0,102.0,,11.0
p256,mayo1,x25519,hqc128,5,0,1500,0,103.0,,11.0
p256,mayo1,x25519,hqc128,5,0,576,0,100.0,,11.0
p256,mayo1,x25519,hqc128,5,1,1280,0,,,
p256,mayo1,x25519,hqc128,5,1,1500,0,67.0,,11.0
p256,mayo1,x25519,mlkem512,5,0,1280,0,389.0,,11.0
