cl_sig,pq_sig,cl,pq,delay,loss,mtu,idx,connections,user_sec,real_sec
p256,falcon512,p256,bikel1,5,0,1280,0,241.0,,11.0
p256,falcon512,p256,bikel1,5,0,1500,0,169.0,,11.0
p256,falcon512,p256,bikel1,5,0,576,0,253.0,,11.0
p256,falcon512,p256,bikel1,5,1,1280,0,164.0,,11.0
p256,falcon512,p256,bikel1,5,1,1500,0,127.0,,11.0
p256,falcon512,p256,bikel1,5,1,576,0,170.0,,11.0
p256,falcon512,p256,bikel1,5,5,1280,0,85.0,,11.0
p256,falcon512,p256,bikel1,5,5,1500,0,75.0,,11.0
p256,falcon512,p256,bikel1,5,5,576,0,,,
p256,falcon512,p256,frodo640shake,5,0,1280,0,176.0,,11.0
p256,falcon512,p256,frodo640shake,5,0,1500,0,146.0,,11.0
p256,falcon512,p256,frodo640shake,5,0,576,0,153.0,,11.0
p256,falcon512,p256,frodo640shake,5,1,1280,0,193.0,,11.0
p256,falcon512,p256,frodo640shake,5,1,1500,0,128.0,,12.0
p256,falcon512,p256,frodo640shake,5,1,576,0,123.0,,11.0
p256,falcon512,p256,frodo640shake,5,5,1280,0,,,
p256,falcon512,p256,frodo640shake,5,5,1500,0,55.0,,11.0
p256,falcon512,p256,hqc128,5,0,1280,0,48.0,,11.0
p256,falcon512,p256,hqc128,5,0,1500,0,49.0,,11.0
p256,falcon512,p256,hqc128,5,0,576,0,49.0,,11.0
p256,falcon512,p256,hqc128,5,1,1280,0,45.0,,11.0
p256,falcon512,p256,hqc128,5,1,1500,0,44.0,,11.0
p256,falcon512,p256,hqc128,5,1,576,0,57.0,,11.0
p256,falcon512,p256,hqc128,5,5,1500,0,41.0,,11.0
p256,falcon512,p256,mlkem512,5,0,1280,0,270.0,,11.0
p256,falcon512,p256,mlkem512,5,0,1500,0,263.0,,11.0
p256,falcon512,p256,mlkem512,5,0,576,0,286.0,,11.0
p256,falcon512,p256,mlkem512,5,1,1280,0,208.0,,11.0
p256,falcon512,p256,mlkem512,5,1,1500,0,168.0,,11.0
p256,falcon512,x25519,bikel1,5,0,1280,0,302.0,,11.0
p256,falcon512,x25519,bikel1,5,0,1500,0,297.0,,11.0
p256,falcon512,x25519,bikel1,5,0,576,0,306.0,,11.0
p256,falcon512,x25519,bikel1,5,1,1280,0,165.0,,11.0
p256,falcon512,x25519,bikel1,5,1,1500,0,185.0,,12.0
p256,falcon512,x25519,bikel1,5,1,576,0,194.0,,11.0
p256,falcon512,x25519,bikel1,5,5,1280,0,91.0,,11.0
p256,falcon512,x25519,bikel1,5,5,1500,0,104.0,,11.0
p256,falcon512,x25519,frodo640shake,5,0,1280,0,228.0,,11.0
p256,falcon512,x25519,frodo640shake,5,0,1500,0,232.0,,11.0
p256,falcon512,x25519,frodo640shake,5,0,576,0,172.0,,11.0
p256,falcon512,x25519,frodo640shake,5,1,1280,0,168.0,,11.0
p256,falcon512,x25519,frodo640shake,5,1,1500,0,194.0,,11.0
p256,falcon512,x25519,frodo640shake,5,1,576,0,132.0,,11.0
p256,falcon512,x25519,frodo640shake,5,5,1500,0,60.0,,11.0
p256,falcon512,x25519,hqc128,5,0,1280,0,52.0,,11.0
p256,falcon512,x25519,hqc128,5,0,1500,0,45.0,,11.0
p256,falcon512,x25519,hqc128,5,0,576,0,52.0,,11.0
p256,falcon512,x25519,hqc128,5,1,1280,0,52.0,,11.0
p256,falcon512,x25519,hqc128,5,1,1500,0,55.0,,11.0
p256,falcon512,x25519,hqc128,5,1,576,0,41.0,,11.0
p256,falcon512,x25519,hqc128,5,5,1500,0,51.0,,11.0
p256,falcon512,x25519,mlkem512,5,0,1280,0,318.0,,11.0
p256,falcon512,x25519,mlkem512,5,0,1500,0,233.0,,11.0
p256,falcon512,x25519,mlkem512,5,0,576,0,320.0,,11.0
p256,falcon512,x25519,mlkem512,5,1,1280,0,209.0,,11.0
p256,falcon512,x25519,mlkem512,5,1,1500,0,171.0,,11.0
p256,falcon512,x448,bikel1,5,0,1280,0,263.0,,11.0
p256,falcon512,x448,bikel1,5,0,1500,0,196.0,,11.0
p256,falcon512,x448,bikel1,5,0,576,0,259.0,,11.0
p256,falcon512,x448,bikel1,5,1,1280,0,128.0,,11.0
p256,falcon512,x448,bikel1,5,1,1500,0,148.0,,11.0
p256,falcon512,x448,bikel1,5,1,576,0,154.0,,11.0
p256,falcon512,x448,bikel1,5,5,1500,0,32.0,,11.0
p256,falcon512,x448,frodo640shake,5,0,1280,0,203.0,,11.0
p256,falcon512,x448,frodo640shake,5,0,1500,0,160.0,,11.0
p256,falcon512,x448,frodo640shake,5,0,576,0,164.0,,11.0
p256,falcon512,x448,frodo640shake,5,1,1280,0,,,
p256,falcon512,x448,frodo640shake,5,1,1500,0,169.0,,11.0
p256,falcon512,x448,hqc128,5,0,1280,0,49.0,,11.0
p256,falcon512,x448,hqc128,5,0,1500,0,51.0,,11.0
p256,falcon512,x448,hqc128,5,0,576,0,50.0,,11.0
p256,falcon512,x448,hqc128,5,1,1280,0,60.0,,11.0
p256,falcon512,x448,hqc128,5,1,1500,0,50.0,,11.0
p256,falcon512,x448,hqc128,5,1,576,0,55.0,,11.0
p256,falcon512,x448,hqc128,5,5,1500,0,39.0,,11.0
p256,falcon512,x448,mlkem512,5,0,1280,0,307.0,,11.0
p256,falcon512,x448,mlkem512,5,0,1500,0,299.0,,11.0
p256,falcon512,x448,mlkem512,5,0,576,0,303.0,,11.0
p256,falcon512,x448,mlkem512,5,1,1280,0,193.0,,11.0
p256,falcon512,x448,mlkem512,5,1,1500,0,261.0,,11.0
p256,mayo1,p256,bikel1,5,0,1280,0,241.0,,11.0
p256,mayo1,p256,bikel1,5,0,1500,0,241.0,,11.0
p256,mayo1,p256,bikel1,5,0,576,0,253.0,,11.0
p256,mayo1,p256,bikel1,5,1,1280,0,182.0,,11.0
p256,mayo1,p256,bikel1,5,1,1500,0,173.0,,11.0
p256,mayo1,p256,bikel1,5,1,576,0,191.0,,11.0
p256,mayo1,p256,bikel1,5,5,1500,0,44.0,,13.0
p256,mayo1,p256,frodo640shake,5,0,1280,0,177.0,,11.0
p256,mayo1,p256,frodo640shake,5,0,1500,0,182.0,,11.0
p256,mayo1,p256,frodo640shake,5,0,576,0,155.0,,11.0
p256,mayo1,p256,frodo640shake,5,1,1280,0,137.0,,11.0
p256,mayo1,p256,frodo640shake,5,1,1500,0,136.0,,11.0
p256,mayo1,p256,frodo640shake,5,1,576,0,164.0,,11.0
